danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.57,0.575,9,-7.032,1,0.0318,0.267,0.0,0.0823,0.421,135.903,audio_features,0YqhqbLNpfQetrwuLaVTiK,spotify:track:0YqhqbLNpfQetrwuLaVTiK,https://api.spotify.com/v1/tracks/0YqhqbLNpfQetrwuLaVTiK,https://api.spotify.com/v1/audio-analysis/0YqhqbLNpfQetrwuLaVTiK,216373,4
0.766,0.852,1,-8.297,1,0.0729,0.0933,0.00343,0.0825,0.886,119.968,audio_features,57ysLbmFhxX9WL9e5QTAmz,spotify:track:57ysLbmFhxX9WL9e5QTAmz,https://api.spotify.com/v1/tracks/57ysLbmFhxX9WL9e5QTAmz,https://api.spotify.com/v1/audio-analysis/57ysLbmFhxX9WL9e5QTAmz,322667,4
0.783,0.838,1,-8.838,1,0.0552,0.0327,2.65e-06,0.0519,0.939,117.791,audio_features,7z38bideBRvGAgjXe2SECm,spotify:track:7z38bideBRvGAgjXe2SECm,https://api.spotify.com/v1/tracks/7z38bideBRvGAgjXe2SECm,https://api.spotify.com/v1/audio-analysis/7z38bideBRvGAgjXe2SECm,265373,4
0.706,0.8,5,-10.496,0,0.0468,0.144,0.00137,0.0998,0.931,103.074,audio_features,2nNKXDFRz6cog1kolC3efq,spotify:track:2nNKXDFRz6cog1kolC3efq,https://api.spotify.com/v1/tracks/2nNKXDFRz6cog1kolC3efq,https://api.spotify.com/v1/audio-analysis/2nNKXDFRz6cog1kolC3efq,341960,4
0.656,0.88,5,-4.137,0,0.0287,0.184,0.00609,0.272,0.88,114.613,audio_features,4ziqqoW1o3P5EhNqK6CPb1,spotify:track:4ziqqoW1o3P5EhNqK6CPb1,https://api.spotify.com/v1/tracks/4ziqqoW1o3P5EhNqK6CPb1,https://api.spotify.com/v1/audio-analysis/4ziqqoW1o3P5EhNqK6CPb1,291587,4
0.51,0.667,8,-4.715,1,0.0294,0.292,0.00683,0.313,0.356,125.887,audio_features,4F2t297QK40XFcIHqkmLHs,spotify:track:4F2t297QK40XFcIHqkmLHs,https://api.spotify.com/v1/tracks/4F2t297QK40XFcIHqkmLHs,https://api.spotify.com/v1/audio-analysis/4F2t297QK40XFcIHqkmLHs,327747,4
0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,audio_features,1NCuYqMc8hKMb4cpNTcJbD,spotify:track:1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/tracks/1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/audio-analysis/1NCuYqMc8hKMb4cpNTcJbD,322133,4
0.407,0.927,1,-3.093,1,0.0631,0.0596,8.91e-06,0.173,0.652,184.595,audio_features,7ba7mwoleFlwmOiuqw8XNf,spotify:track:7ba7mwoleFlwmOiuqw8XNf,https://api.spotify.com/v1/tracks/7ba7mwoleFlwmOiuqw8XNf,https://api.spotify.com/v1/audio-analysis/7ba7mwoleFlwmOiuqw8XNf,229160,4
0.776,0.674,5,-10.582,0,0.0421,0.0224,0.0,0.0631,0.647,129.948,audio_features,1KmGMot8eJCgEPVjTpkkVG,spotify:track:1KmGMot8eJCgEPVjTpkkVG,https://api.spotify.com/v1/tracks/1KmGMot8eJCgEPVjTpkkVG,https://api.spotify.com/v1/audio-analysis/1KmGMot8eJCgEPVjTpkkVG,200680,4
0.527,0.584,10,-7.965,1,0.0314,0.0878,0.000103,0.117,0.271,114.941,audio_features,5XJzh2c0roCc6GDs8PrILx,spotify:track:5XJzh2c0roCc6GDs8PrILx,https://api.spotify.com/v1/tracks/5XJzh2c0roCc6GDs8PrILx,https://api.spotify.com/v1/audio-analysis/5XJzh2c0roCc6GDs8PrILx,279413,4
0.52,0.652,5,-6.655,1,0.0274,0.339,6.14e-05,0.256,0.722,80.61,audio_features,6kvoHl80mfCVTv7XnZkjQn,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4
0.712,0.898,4,-4.893,1,0.0336,0.0485,6.18e-06,0.148,0.961,124.41,audio_features,5qMavxQ0uSiBqoJfL30Xrx,spotify:track:5qMavxQ0uSiBqoJfL30Xrx,https://api.spotify.com/v1/tracks/5qMavxQ0uSiBqoJfL30Xrx,https://api.spotify.com/v1/audio-analysis/5qMavxQ0uSiBqoJfL30Xrx,228867,4
